name,calories,total_fat,sodium,protein,carbohydrate,sugars,food_group
"Spices, curry powder",325,14g,52.00 mg,14.29 g,55.83 g,2.76 g,grains
"Bacon bits, meatless",476,26g,1770.00 mg,32.00 g,28.60 g,0.00 g,grains
"Semolina, unenriched",360,1.1g,1.00 mg,12.68 g,72.83 g,0,grains
"Grape leaves, canned",69,2g,2853.00 mg,4.27 g,11.71 g,0,grains
"Spices, ground, sage",315,13g,11.00 mg,10.63 g,60.73 g,1.71 g,grains
"PACE, Red Taco Sauce",50,0g,813.00 mg,0.00 g,12.50 g,6.25 g,grains
"DENNY'S, hash browns",197,9g,468.00 mg,2.49 g,26.59 g,1.38 g,grains
"DENNY'S, onion rings",385,22g,780.00 mg,5.29 g,41.05 g,4.76 g,grains
"Ostrich, raw, oyster",125,3.7g,83.00 mg,21.55 g,0.00 g,0.00 g,grains
"Oil, corn and canola",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Pumpkin flowers, raw",15,0.1g,5.00 mg,1.03 g,3.28 g,0,grains
"Celery flakes, dried",319,2.1g,1435.00 mg,11.30 g,63.70 g,35.90 g,grains
"Crackers, egg, matzo",391,2.1g,21.00 mg,12.30 g,78.60 g,0,grains
"Loganberries, frozen",55,0.3g,1.00 mg,1.52 g,13.02 g,7.70 g,grains
"Tangerine juice, raw",43,0.2g,1.00 mg,0.50 g,10.10 g,9.90 g,grains
"Soybeans, raw, green",147,6.8g,15.00 mg,12.95 g,11.05 g,0,grains
"Soybean, curd cheese",151,8.1g,20.00 mg,12.50 g,6.90 g,1.60 g,grains
"Game meat, raw, bear",161,8.3g,0,20.10 g,0.00 g,0,grains
"Game meat, raw, deer",120,2.4g,51.00 mg,22.96 g,0.00 g,0.00 g,grains
"Oranges, navels, raw",49,0.2g,1.00 mg,0.91 g,12.54 g,8.50 g,grains
"Tostada shells, corn",474,23g,657.00 mg,6.15 g,64.43 g,0,grains
"Fish, raw, swordfish",144,6.7g,81.00 mg,19.66 g,0.00 g,0.00 g,grains
"Taro, raw, tahitian",44,1g,50.00 mg,2.79 g,6.91 g,0,grains
"Chicory greens, raw",23,0.3g,45.00 mg,1.70 g,4.70 g,0.70 g,grains
"Hearts of palm, raw",115,0.2g,14.00 mg,2.70 g,25.61 g,17.16 g,grains
"Chayote, raw, fruit",19,0.1g,2.00 mg,0.82 g,4.51 g,1.66 g,grains
"Fish, smoked, cisco",177,12g,481.00 mg,16.36 g,0.00 g,0.00 g,grains
"Frankfurter, turkey",223,17g,911.00 mg,12.23 g,3.81 g,1.21 g,grains
"Candies, jellybeans",375,0.1g,50.00 mg,0.00 g,93.55 g,70.00 g,grains
"Oil, ucuhuba butter",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
Soy protein isolate,335,3.4g,1005.00 mg,88.32 g,0.00 g,0.00 g,grains
"Syrups, light, corn",283,0.2g,62.00 mg,0.00 g,76.79 g,76.77 g,grains
"Fish, raw, milkfish",148,6.7g,72.00 mg,20.53 g,0.00 g,0,grains
"Fish, raw, monkfish",76,1.5g,18.00 mg,14.48 g,0.00 g,0,grains
"Mother's loaf, pork",282,22g,1127.00 mg,12.07 g,7.53 g,0,grains
"Tapioca, dry, pearl",358,0g,1.00 mg,0.19 g,88.69 g,3.35 g,grains
"Guavas, raw, common",68,1g,2.00 mg,2.55 g,14.32 g,8.92 g,grains
"Spices, celery seed",392,25g,160.00 mg,18.07 g,41.35 g,0.67 g,grains
"Candies, peanut bar",522,34g,156.00 mg,15.50 g,47.40 g,42.22 g,grains
"Bread, toasted, rye",284,3.6g,664.00 mg,9.40 g,53.10 g,4.23 g,grains
"Oil, apricot kernel",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Candies, YORK BITES",394,7.3g,46.00 mg,1.78 g,81.64 g,75.00 g,grains
"Meatballs, meatless",197,9g,550.00 mg,21.00 g,8.00 g,1.25 g,grains
"Emu, raw, full rump",112,1.6g,90.00 mg,22.83 g,0.00 g,0.00 g,grains
"Mustard greens, raw",27,0.4g,20.00 mg,2.86 g,4.67 g,1.32 g,grains
"Seaweed, raw, laver",35,0.3g,48.00 mg,5.81 g,5.11 g,0.49 g,grains
"Sweet rolls, cheese",360,18g,357.00 mg,7.10 g,43.70 g,0,grains
"Figs, stewed, dried",107,0.4g,4.00 mg,1.42 g,27.57 g,23.35 g,grains
"Bread sticks, plain",412,9.5g,713.00 mg,12.00 g,68.40 g,1.26 g,grains
"SILK Mocha, soymilk",58,1.4g,41.00 mg,2.06 g,9.05 g,7.41 g,grains
Milk and cereal bar,413,11g,319.00 mg,6.47 g,72.05 g,45.97 g,grains
"Bread, pumpernickel",250,3.1g,596.00 mg,8.70 g,47.50 g,0.53 g,grains
"Game meat, raw, elk",111,1.5g,58.00 mg,22.95 g,0.00 g,0,grains
"PACE, Pico De Gallo",31,0g,469.00 mg,0.00 g,9.38 g,6.25 g,grains
"Ostrich, raw, round",116,2.4g,72.00 mg,21.99 g,0.00 g,0.00 g,grains
"HORMEL, Cure 81 Ham",106,3.6g,1038.00 mg,18.43 g,0.21 g,0.00 g,grains
"Prune juice, canned",71,0g,4.00 mg,0.61 g,17.45 g,16.45 g,grains
"McDONALD'S, BIG MAC",257,15g,460.00 mg,11.82 g,20.08 g,3.97 g,grains
"Soy flour, defatted",327,1.2g,20.00 mg,51.46 g,33.92 g,16.42 g,grains
"Bread, toasted, egg",315,6.6g,417.00 mg,10.50 g,52.60 g,1.94 g,grains
"Fish, raw, mahimahi",85,0.7g,88.00 mg,18.50 g,0.00 g,0,grains
"Fish, raw, bluefish",124,4.2g,60.00 mg,20.04 g,0.00 g,0,grains
"Spices, fennel seed",345,15g,88.00 mg,15.80 g,52.29 g,0,grains
"Potatoes, skin, raw",58,0.1g,10.00 mg,2.57 g,12.44 g,0,grains
"Pepper, raw, banana",27,0.5g,13.00 mg,1.66 g,5.35 g,1.95 g,grains
"Drumstick pods, raw",37,0.2g,42.00 mg,2.10 g,8.53 g,0,grains
"Toppings, pineapple",253,0.1g,42.00 mg,0.10 g,66.40 g,21.01 g,grains
Acorn stew (Apache),95,3.5g,130.00 mg,6.81 g,9.22 g,0.34 g,grains
"Tomatoes, sun-dried",258,3g,107.00 mg,14.11 g,55.76 g,37.59 g,grains
"Guava sauce, cooked",36,0.1g,4.00 mg,0.32 g,9.48 g,5.88 g,grains
"Pumpkin leaves, raw",19,0.4g,11.00 mg,3.15 g,2.33 g,0,grains
"Melons, raw, casaba",28,0.1g,9.00 mg,1.11 g,6.58 g,5.69 g,grains
"Melon balls, frozen",33,0.3g,31.00 mg,0.84 g,7.94 g,0,grains
"Fish oil, cod liver",902,100g,0.00 mg,0.00 g,0.00 g,0,grains
"Nuts, dried, acorns",509,31g,0.00 mg,8.10 g,53.66 g,0,grains
"Rolls, pumpernickel",276,2.8g,492.00 mg,10.80 g,51.87 g,0.40 g,grains
"Gravy, dry, chicken",381,9.7g,4152.00 mg,11.27 g,62.09 g,0,grains
"Fish, raw, tilefish",96,2.3g,53.00 mg,17.50 g,0.00 g,0,grains
"Ice creams, vanilla",207,11g,80.00 mg,3.50 g,23.60 g,21.22 g,grains
"SILK Plain, soymilk",41,1.7g,49.00 mg,2.88 g,3.29 g,2.47 g,grains
"Cabbage, raw, savoy",27,0.1g,28.00 mg,2.00 g,6.10 g,2.27 g,grains
"Fish, raw, tilapia",96,1.7g,52.00 mg,20.08 g,0.00 g,0.00 g,grains
"Broccoli raab, raw",22,0.5g,33.00 mg,3.17 g,2.85 g,0.38 g,grains
"Corn grain, yellow",365,4.7g,35.00 mg,9.42 g,74.26 g,0.64 g,grains
"Turtle, raw, green",89,0.5g,68.00 mg,19.80 g,0.00 g,0.00 g,grains
"Chicory roots, raw",72,0.2g,50.00 mg,1.40 g,17.51 g,8.73 g,grains
Ice cream sandwich,237,8.6g,129.00 mg,4.29 g,37.14 g,18.57 g,grains
"Croutons, seasoned",465,18g,1089.00 mg,10.80 g,63.50 g,4.41 g,grains
"Snacks, taro chips",498,25g,342.00 mg,2.30 g,68.10 g,3.82 g,grains
"Prickly pears, raw",41,0.5g,5.00 mg,0.73 g,9.57 g,0,grains
"Fish, raw, haddock",74,0.5g,213.00 mg,16.32 g,0.00 g,0.00 g,grains
"Liver cheese, pork",304,26g,1225.00 mg,15.20 g,2.10 g,0,grains
"Ground turkey, raw",148,7.7g,58.00 mg,19.66 g,0.00 g,0.00 g,grains
Jams and preserves,278,0.1g,32.00 mg,0.37 g,68.86 g,48.50 g,grains
"Carrots, raw, baby",35,0.1g,78.00 mg,0.64 g,8.24 g,4.76 g,grains
"Oil, nutmeg butter",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Semolina, enriched",360,1.1g,1.00 mg,12.68 g,72.83 g,0,grains
"Spices, anise seed",337,16g,16.00 mg,17.60 g,50.02 g,0,grains
"Snacks, corn cakes",387,2.4g,488.00 mg,8.10 g,83.40 g,23.47 g,grains
"Catsup, low sodium",101,0.1g,20.00 mg,1.04 g,27.40 g,21.27 g,grains
"Croissants, cheese",414,21g,361.00 mg,9.20 g,47.00 g,11.35 g,grains
"Milk, fluid, sheep",108,7g,44.00 mg,5.98 g,5.36 g,0,grains
"Acerola juice, raw",23,0.3g,3.00 mg,0.40 g,4.80 g,4.50 g,grains
"Jute, raw, potherb",34,0.3g,8.00 mg,4.65 g,5.80 g,0,grains
"Fast food, biscuit",370,19g,979.00 mg,7.08 g,42.82 g,3.88 g,grains
"Bagels, multigrain",241,1.2g,359.00 mg,9.90 g,47.47 g,8.66 g,grains
"Beef, dried, cured",153,1.9g,2790.00 mg,31.10 g,2.76 g,2.70 g,grains
"Nuts, almond paste",458,28g,9.00 mg,9.00 g,47.81 g,36.25 g,grains
"Seaweed, raw, kelp",43,0.6g,233.00 mg,1.68 g,9.57 g,0.60 g,grains
"Seaweed, raw, agar",26,0g,9.00 mg,0.54 g,6.75 g,0.28 g,grains
"Fish oil, menhaden",902,100g,0.00 mg,0.00 g,0.00 g,0,grains
"Rolls, egg, dinner",307,6.4g,566.00 mg,9.50 g,52.00 g,4.30 g,grains
"Bread, white wheat",238,2.2g,478.00 mg,10.66 g,43.91 g,5.00 g,grains
"Onions, raw, sweet",32,0.1g,8.00 mg,0.80 g,7.55 g,5.02 g,grains
"Onions, raw, welsh",34,0.4g,17.00 mg,1.90 g,6.50 g,2.18 g,grains
"SILK Chai, soymilk",53,1.4g,41.00 mg,2.47 g,7.82 g,5.76 g,grains
"Rolls, rye, dinner",286,3.4g,650.00 mg,10.30 g,53.10 g,1.17 g,grains
"Gravy, dry, au jus",313,9.6g,11588.00 mg,9.20 g,47.49 g,0,grains
"Cheese, neufchatel",253,23g,334.00 mg,9.15 g,3.59 g,3.19 g,grains
"Hummus, commercial",166,9.6g,379.00 mg,7.90 g,14.29 g,0,grains
"Croissants, butter",406,21g,467.00 mg,8.20 g,45.80 g,11.26 g,grains
"Carrot, dehydrated",341,1.5g,275.00 mg,8.10 g,79.57 g,38.82 g,grains
"Vinegar, distilled",18,0g,2.00 mg,0.00 g,0.04 g,0.04 g,grains
"Sapote, raw, mamey",124,0.5g,7.00 mg,1.45 g,32.10 g,20.14 g,grains
"Soy flour, low-fat",372,8.9g,9.00 mg,49.81 g,30.63 g,9.33 g,grains
"Syrups, sugar free",52,0g,210.00 mg,0.80 g,12.13 g,0.01 g,grains
"Syrups, dark, corn",286,0g,155.00 mg,0.00 g,77.59 g,77.59 g,grains
"Taco shells, baked",476,22g,324.00 mg,6.41 g,63.49 g,1.50 g,grains
"Spices, cumin seed",375,22g,168.00 mg,17.81 g,44.24 g,2.25 g,grains
